153,5579dc9d0db630d703865378, 2740 W Foster Ave, Chicago, IL 60625,41.97586,-87.69805
155,5579dc9d0db630d70386537a, 400 S Western Ave, Chicago, IL 60612,41.87531,-87.68642
156,5579dc9d0db630d70386537b, 430 W Superior St, Chicago, IL 60654,41.89557,-87.63971
157,5579dc9d0db630d70386537c, 255 S Canal St, Chicago, IL 60606,41.87819,-87.63954
158,5579dc9d0db630d70386537d, 3006 W Arthur Ave, Chicago, IL 60645,41.99934,-87.70493
159,5579dc9d0db630d70386537e, 5556 N Winthrop Ave, Chicago, IL 60640,41.98282,-87.65806
161,5579dc9d0db630d703865380, 5400 W Hirsch St, Chicago, IL 60651,41.90583,-87.76093
162,5579dc9d0db630d703865381, 7158 N Sheridan Rd, Chicago, IL 60626,42.01235,-87.6633
163,5579dc9d0db630d703865382, 7158 N Sheridan Rd, Chicago, IL 60626,42.01235,-87.6633
164,5579dc9d0db630d703865383, 7233 N Ridge Ave, Chicago, IL 60645,42.01288,-87.68323
165,5579dc9d0db630d703865384, 29 E Van Buren St, Chicago, IL 60605,41.87693,-87.62631
166,5579dc9d0db630d703865385, 8700 S Lafayette Ave, Chicago, IL 60620,41.73619,-87.6255
167,5579dc9d0db630d703865386, 5103 N Francisco Ave, Chicago, IL 60625,41.97434,-87.70125
168,5579dc9d0db630d703865387, 800 W Belmont Ave, Chicago, IL 60657,41.94004,-87.64936
169,5579dc9d0db630d703865388, 225 S Canal St, Chicago, IL 60606,41.87828,-87.63955
170,5579dc9d0db630d703865389, 6413 N Magnolia Ave, Chicago, IL 60626,41.99846,-87.66177
171,5579dc9d0db630d70386538a, 1914 W Pratt Blvd, Chicago, IL 60626,42.00529,-87.67875
172,5579dc9d0db630d70386538b, 225 S Canal St, Chicago, IL 60606,41.87828,-87.63955
173,5579dc9d0db630d70386538c, 1048 W Bryn Mawr Ave, Chicago, IL 60660,41.98367,-87.65708
174,5579dc9d0db630d70386538d, 2752 W Jerome St, Chicago, IL 60645,42.01849,-87.69936
175,5579dc9d0db630d70386538e, 7131 N Ridge Ave, Chicago, IL 60645,42.01156,-87.68277
176,5579dc9d0db630d70386538f, 544 W Roosevelt Rd, Chicago, IL 60607,41.86736,-87.64147
177,5579dc9d0db630d703865390, 202 W Adams St, Chicago, IL 60606,41.8794,-87.63408
178,5579dc9d0db630d703865391, 444 N Lake Shore Dr, Chicago, IL 60611,41.89082,-87.61436
179,5579dc9d0db630d703865392, 554 W Diversey Pkwy, Chicago, IL 60614,41.9329,-87.64359
180,5579dc9d0db630d703865393, 8208 S Brandon Ave, Chicago, IL 60617,41.74626,-87.54677
181,5579dc9d0db630d703865394, 835 N Michigan Ave, Chicago, IL 60611,41.89777,-87.62397
182,5579dc9d0db630d703865395, 4828 N Sheridan Rd, Chicago, IL 60640,41.96988,-87.65491
183,5579dc9d0db630d703865396, 2522 W Devon Ave, Chicago, IL 60659,41.9977,-87.69346
184,5579dc9d0db630d703865397, 2220 N Geneva Ter, Chicago, IL 60614,41.92256,-87.64385
